"y1","y2","x1","x2","x3","x4","x5","x6","x7","x8"
"143.25","573","1.7898","1.66","11.5","103.2","2011453.074","2931.10371","56.875","133.58039793345"
"130.75","523","1.8362","1.58","11","101.4","2176328.826","2871.476959","56.754","134.24829992312"
"134.75","539","1.789","1.65","11","101.8","1974998.211","2697.706342","63.072","135.00009040269"
"140","560","1.7178","1.63","10.5","103.7","1944586.224","2710.211116","65.812","135.6075908095"
"142.25","569","1.7947","1.59","10.5","105.4","1951341.877","2927.010615","64.511","135.8923667502"
"153.5","614","1.8542","1.47","9.75","105","1948597.565","2821.542389","61.82","136.7620778974"
"173.25","693","1.9854","1.36","9","103.4","1946600.556","2927.864152","54.49","137.25442137783"
"174.75","699","2.0486","1.30","8.5","102.4","1991821.336","2878.357158","54.355","137.36422491493"
"181.5","726","2.0282","1.33","8.5","101.9","1984878.136","2964.889442","56.097","137.95489108207"
"188.25","753","2.0289","1.33","8","103.5","1988850.804","3023.032558","57.062","138.5205061355"
"171.25","685","2.0275","1.30","7.5","106.2","2035918.931","2890.500244","59.176","139.31007302048"
"169.75","679","2.0293","1.24","7.5","105.3","2011631.976","3078.565156","57.068","140.1320024513"
"153.75","615","2.0672","1.29","7.25","104.3","2105935.653","3026.118632","57.475","140.972794466"
"140.5","562","2.0772","1.20","7.25","102.3","2347060.952","2911.644383","60.952","142.08647954229"
"148.5","594","2.0305","1.31","7.25","101.9","2065166.605","2853.214701","59.762","143.30842326635"
"135.5","542","1.9727","1.31","7.25","103.3","2049449.974","2761.312108","57.424","144.16827380595"
"140.75","563","1.9823","1.29","7.25","104.3","2088661.514","3000.638651","56.352","144.84586469284"
"144.5","578","2.0016","1.31","7.25","103.4","2039380.5","3065.759294","55.91","145.64251694865"
"141.75","567","2.0343","1.32","7.5","103.5","2071755.879","3019.092835","53.506","146.18139426136"
"154.5","618","2.1724","1.36","8","102.2","2120337.908","2966.26127","47.457","146.56146588644"
"149.25","597","2.2516","1.41","8","98.9","2080014.526","3087.180923","48.235","146.6054343262"
"148","592","2.3416","1.47","8.5","101.5","2097288.359","3087.846871","50.012","146.95728736858"
"148","592","2.2699","1.50","9","102.8","2114305.14","3036.21026","52.338","147.47163787437"
"155.5","622","2.1881","1.47","9","100.9","2079150.478","3207.514391","54.256","148.31222621026"
"154.25","617","2.2947","1.54","9.5","99.5","2182228.854","3154.149175","52.483","149.11311223179"
"147","588","2.3449","1.55","10","98.2","2356720.331","3104.982864","51.507","150.48495286433"
"139","556","2.3816","1.66","10","97.2","2136468.82","2995.651649","47.639","151.31262010508"
"131.5","526","2.3831","1.68","10.5","98.1","2142271.248","2989.710122","47.094","152.35667718381"
"131.75","527","2.3255","1.69","10.75","99.1","2087928.187","3103.571112","50.415","153.7583586139"
"134.25","537","2.2322","1.65","10.75","97.2","2069487.042","3099.190038","51.627","154.78853961661"
"138.5","554","2.2203","1.62","11","91.9","2024407.096","3094.991289","51.239","155.50056689885"
"129.25","517","2.2349","1.62","11","90.1","2032189.777","2954.927032","53.168","156.12256916644"
"131.5","526","2.224","1.67","11","90.5","2009249.135","3118.495397","55.829","156.13818142336"
"136.25","545","2.2674","1.64","11","89.9","2030894.453","3090.703718","61.288","156.52852687692"
"146.25","585","2.3323","1.65","11","89.1","2070488.438","3121.736066","54.116","157.42073948011"
"153.25","613","2.4476","1.68","11","88.6","2054520.198","3219.331744","54.629","158.08190658593"
"150","600","2.5477","1.70","11.25","86.9","2129230.259","3137.352789","54.724","158.88812430952"
"144.75","579","2.6387","1.67","11.25","85.3","2269202.009","3129.484013","50.007","160.12745167913"
"127.75","511","2.6336","1.74","11.75","84.5","2056923.331","2925.47116","46.908","162.11303207995"
"114.5","458","2.8158","1.79","12.25","82.3","2015399.941","2844.578541","51.583","164.09081107133"
