y1,y2,b10,b11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
177,708,12.75,12.75,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,2529.3299,2368.9921,2321.3533,2315.5870,2237.2962,2221.9289,53198.0000,47290.0000,40926.0000
164.25,657,11.25,12.75,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,2511.1669,2529.3299,2368.9921,2321.3533,2315.5870,2237.2962,51466.0000,53198.0000,47290.0000
162,648,10.25,11.25,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,2466.7667,2511.1669,2529.3299,2368.9921,2321.3533,2315.5870,54766.0000,51466.0000,53198.0000
157.5,630,10.25,10.25,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,2298.0954,2466.7667,2511.1669,2529.3299,2368.9921,2321.3533,56489.0000,54766.0000,51466.0000
164.5,658,9.25,10.25,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,2275.4067,2298.0954,2466.7667,2511.1669,2529.3299,2368.9921,61518.0000,56489.0000,54766.0000
162.5,650,8.75,9.25,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,2548.1943,2275.4067,2298.0954,2466.7667,2511.1669,2529.3299,61546.0000,61518.0000,56489.0000
158,632,8.75,8.75,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,2480.9027,2548.1943,2275.4067,2298.0954,2466.7667,2511.1669,67044.0000,61546.0000,61518.0000
168,672,8.75,8.75,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,2506.5252,2480.9027,2548.1943,2275.4067,2298.0954,2466.7667,68588.0000,67044.0000,61546.0000
176,704,8.75,8.75,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,2511.2781,2506.5252,2480.9027,2548.1943,2275.4067,2298.0954,65402.0000,68588.0000,67044.0000
182,728,8.75,8.75,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,2609.0060,2511.2781,2506.5252,2480.9027,2548.1943,2275.4067,66503.0000,65402.0000,68588.0000
174.75,699,8.75,8.75,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,2635.8652,2609.0060,2511.2781,2506.5252,2480.9027,2548.1943,70372.0000,66503.0000,65402.0000
159.25,637,8.75,8.75,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,2660.2987,2635.8652,2609.0060,2511.2781,2506.5252,2480.9027,67530.0000,70372.0000,66503.0000
144,576,8.75,8.75,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2756.7769,2660.2987,2635.8652,2609.0060,2511.2781,2506.5252,63047.0000,67530.0000,70372.0000
134.25,537,8.75,8.75,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,2797.3706,2756.7769,2660.2987,2635.8652,2609.0060,2511.2781,60936.0000,63047.0000,67530.0000
140.25,561,9.5,8.75,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,2702.7408,2797.3706,2756.7769,2660.2987,2635.8652,2609.0060,67515.0000,60936.0000,63047.0000
142.5,570,9.5,9.5,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,2527.9026,2702.7408,2797.3706,2756.7769,2660.2987,2635.8652,65146.0000,67515.0000,60936.0000
151.75,607,10.25,9.5,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,2548.6801,2527.9026,2702.7408,2797.3706,2756.7769,2660.2987,69430.0000,65146.0000,67515.0000
153,612,10.75,10.25,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,2718.5341,2548.6801,2527.9026,2702.7408,2797.3706,2756.7769,70673.0000,69430.0000,65146.0000
151.75,607,10.75,10.75,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,2687.5165,2718.5341,2548.6801,2527.9026,2702.7408,2797.3706,67705.0000,70673.0000,69430.0000
161,644,10.75,10.75,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,2781.0958,2687.5165,2718.5341,2548.6801,2527.9026,2702.7408,69305.0000,67705.0000,70673.0000
146,584,10.75,10.75,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,2744.3743,2781.0958,2687.5165,2718.5341,2548.6801,2527.9026,66575.0000,69305.0000,67705.0000
144,576,10.75,10.75,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2767.5213,2744.3743,2781.0958,2687.5165,2718.5341,2548.6801,67383.0000,66575.0000,69305.0000
143.25,573,10.75,10.75,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2816.5838,2767.5213,2744.3743,2781.0958,2687.5165,2718.5341,68587.0000,67383.0000,66575.0000
130.75,523,11.25,10.75,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2769.6909,2816.5838,2767.5213,2744.3743,2781.0958,2687.5165,66133.0000,68587.0000,67383.0000
134.75,539,11.25,11.25,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2862.7189,2769.6909,2816.5838,2767.5213,2744.3743,2781.0958,64620.0000,66133.0000,68587.0000
140,560,11.75,11.25,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2909.3327,2862.7189,2769.6909,2816.5838,2767.5213,2744.3743,62404.0000,64620.0000,66133.0000
142.25,569,12,11.75,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,2853.7970,2909.3327,2862.7189,2769.6909,2816.5838,2767.5213,58824.0000,62404.0000,64620.0000
153.5,614,12,12,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,2684.9794,2853.7970,2909.3327,2862.7189,2769.6909,2816.5838,56495.0000,58824.0000,62404.0000
173.25,693,12.25,12,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,2700.6040,2684.9794,2853.7970,2909.3327,2862.7189,2769.6909,52324.0000,56495.0000,58824.0000
174.75,699,12.5,12.25,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,2918.2568,2700.6040,2684.9794,2853.7970,2909.3327,2862.7189,58338.0000,52324.0000,56495.0000
181.5,726,12,12.5,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,2817.8764,2918.2568,2700.6040,2684.9794,2853.7970,2909.3327,56875.0000,58338.0000,52324.0000
188.25,753,12,12,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,2926.8922,2817.8764,2918.2568,2700.6040,2684.9794,2853.7970,56754.0000,56875.0000,58338.0000
171.25,685,11.5,12,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,2878.0266,2926.8922,2817.8764,2918.2568,2700.6040,2684.9794,63072.0000,56754.0000,56875.0000
169.75,679,11,11.5,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,2968.0067,2878.0266,2926.8922,2817.8764,2918.2568,2700.6040,65812.0000,63072.0000,56754.0000
153.75,615,11,11,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,3029.6050,2968.0067,2878.0266,2926.8922,2817.8764,2918.2568,64511.0000,65812.0000,63072.0000
140.5,562,10.5,11,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,2901.3315,3029.6050,2968.0067,2878.0266,2926.8922,2817.8764,61820.0000,64511.0000,65812.0000
148.5,594,10.5,10.5,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,3095.1751,2901.3315,3029.6050,2968.0067,2878.0266,2926.8922,54490.0000,61820.0000,64511.0000
135.5,542,9.75,10.5,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,3047.5811,3095.1751,2901.3315,3029.6050,2968.0067,2878.0266,54355.0000,54490.0000,61820.0000
140.75,563,9,9.75,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,2938.8741,3047.5811,3095.1751,2901.3315,3029.6050,2968.0067,56097.0000,54355.0000,54490.0000
144.5,578,8.5,9,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,2887.0275,2938.8741,3047.5811,3095.1751,2901.3315,3029.6050,57062.0000,56097.0000,54355.0000
141.75,567,8.5,8.5,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,2798.9426,2887.0275,2938.8741,3047.5811,3095.1751,2901.3315,59176.0000,57062.0000,56097.0000
154.5,618,8,8.5,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,3045.7610,2798.9426,2887.0275,2938.8741,3047.5811,3095.1751,57068.0000,59176.0000,57062.0000
149.25,597,7.5,8,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,3116.9627,3045.7610,2798.9426,2887.0275,2938.8741,3047.5811,57475.0000,57068.0000,59176.0000
148,592,7.5,7.5,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,3072.9369,3116.9627,3045.7610,2798.9426,2887.0275,2938.8741,60952.0000,57475.0000,57068.0000
148,592,7.25,7.5,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,3021.5430,3072.9369,3116.9627,3045.7610,2798.9426,2887.0275,59762.0000,60952.0000,57475.0000
155.5,622,7.25,7.25,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,3145.0038,3021.5430,3072.9369,3116.9627,3045.7610,2798.9426,57424.0000,59762.0000,60952.0000
154.25,617,7.25,7.25,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,3147.9820,3145.0038,3021.5430,3072.9369,3116.9627,3045.7610,56352.0000,57424.0000,59762.0000
147,588,7.25,7.25,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,3098.6498,3147.9820,3145.0038,3021.5430,3072.9369,3116.9627,55910.0000,56352.0000,57424.0000
139,556,7.25,7.25,2234729.3180,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,3279.2004,3098.6498,3147.9820,3145.0038,3021.5430,3072.9369,53506.0000,55910.0000,56352.0000
131.5,526,7.25,7.25,2420329.9530,2234729.3180,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,3230.0323,3279.2004,3098.6498,3147.9820,3145.0038,3021.5430,47457.0000,53506.0000,55910.0000
