y1,y2,x5,x12,b10,b11,e10,e11,l10,l11,g4,g8,ib8,ib10
73.25,293,4.4338,4.3163,4.25,4.25,102.0000,100.4000,3354594.2280,3413221.0730,3857.0346,3927.3415,103501.0000,118781.0000
76.75,307,4.4506,4.3331,5.25,4.25,99.9000,102.0000,3295844.8340,3354594.2280,4255.1892,3992.6133,101916.0000,110979.0000
83,332,4.4674,4.3499,6.25,5.25,100.2000,99.9000,3219344.0010,3295844.8340,4135.7725,4035.8989,104822.0000,103501.0000
78.75,315,4.4841,4.3667,7.75,6.25,96.6000,100.2000,3225357.9280,3219344.0010,4157.4299,3715.5581,112144.0000,101916.0000
79.5,318,4.5009,4.3835,7.75,7.75,93.9000,96.6000,3368666.3500,3225357.9280,4144.5305,3857.0346,113142.0000,104822.0000
82.5,330,4.5177,4.4002,9.25,7.75,93.1000,93.9000,3083404.6680,3368666.3500,4293.6635,4255.1892,119999.0000,112144.0000
69,276,4.5345,4.4170,9.25,9.25,92.9000,93.1000,3093171.6960,3083404.6680,4305.5734,4135.7725,107876.0000,113142.0000
72.5,290,4.5512,4.4338,10.75,9.25,93.4000,92.9000,3058560.0540,3093171.6960,4226.4042,4157.4299,111351.0000,119999.0000
76.25,305,4.5680,4.4506,11.75,10.75,95.6000,93.4000,3081753.0830,3058560.0540,4309.5811,4144.5305,98542.0000,107876.0000
76.75,307,4.5848,4.4674,11.75,11.75,96.7000,95.6000,3034985.6340,3081753.0830,4318.4533,4293.6635,103165.0000,111351.0000
86.5,346,4.6016,4.4841,12.75,11.75,96.8000,96.7000,3057266.3690,3034985.6340,4352.1896,4305.5734,109523.0000,98542.0000
98.75,395,4.6184,4.5009,13.25,12.75,97.3000,96.8000,3039031.5260,3057266.3690,4020.1404,4226.4042,110037.0000,103165.0000
97,388,5.2007,4.5177,13.25,13.25,100.2000,97.3000,3042425.9000,3039031.5260,4104.2751,4309.5811,116037.0000,109523.0000
