y1,y2,i10,i11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
157.5,630,1.76,1.83,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,2298.0954,2466.7667,2511.1669,2529.3299,2368.9921,2321.3533,56489.0000,54766.0000,51466.0000
164.5,658,1.7,1.76,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,2275.4067,2298.0954,2466.7667,2511.1669,2529.3299,2368.9921,61518.0000,56489.0000,54766.0000
162.5,650,1.66,1.7,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,2548.1943,2275.4067,2298.0954,2466.7667,2511.1669,2529.3299,61546.0000,61518.0000,56489.0000
158,632,1.65,1.66,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,1666034.4960,2480.9027,2548.1943,2275.4067,2298.0954,2466.7667,2511.1669,67044.0000,61546.0000,61518.0000
168,672,1.69,1.65,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,1699592.4820,2506.5252,2480.9027,2548.1943,2275.4067,2298.0954,2466.7667,68588.0000,67044.0000,61546.0000
176,704,1.6,1.69,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,1758779.3590,2511.2781,2506.5252,2480.9027,2548.1943,2275.4067,2298.0954,65402.0000,68588.0000,67044.0000
182,728,1.6,1.6,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,1755266.6260,2609.0060,2511.2781,2506.5252,2480.9027,2548.1943,2275.4067,66503.0000,65402.0000,68588.0000
174.75,699,1.66,1.6,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,1837016.7250,2635.8652,2609.0060,2511.2781,2506.5252,2480.9027,2548.1943,70372.0000,66503.0000,65402.0000
159.25,637,1.62,1.66,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2070846.4960,2660.2987,2635.8652,2609.0060,2511.2781,2506.5252,2480.9027,67530.0000,70372.0000,66503.0000
144,576,1.62,1.62,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,1874382.4650,2756.7769,2660.2987,2635.8652,2609.0060,2511.2781,2506.5252,63047.0000,67530.0000,70372.0000
134.25,537,1.59,1.62,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,1843248.0690,2797.3706,2756.7769,2660.2987,2635.8652,2609.0060,2511.2781,60936.0000,63047.0000,67530.0000
140.25,561,1.65,1.59,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,1873823.7500,2702.7408,2797.3706,2756.7769,2660.2987,2635.8652,2609.0060,67515.0000,60936.0000,63047.0000
142.5,570,1.66,1.65,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,1860277.8460,2527.9026,2702.7408,2797.3706,2756.7769,2660.2987,2635.8652,65146.0000,67515.0000,60936.0000
151.75,607,1.71,1.66,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,1874105.5850,2548.6801,2527.9026,2702.7408,2797.3706,2756.7769,2660.2987,69430.0000,65146.0000,67515.0000
153,612,1.72,1.71,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,1904510.6620,2718.5341,2548.6801,2527.9026,2702.7408,2797.3706,2756.7769,70673.0000,69430.0000,65146.0000
151.75,607,1.73,1.72,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,1913256.4100,2687.5165,2718.5341,2548.6801,2527.9026,2702.7408,2797.3706,67705.0000,70673.0000,69430.0000
161,644,1.72,1.73,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,1967454.8770,2781.0958,2687.5165,2718.5341,2548.6801,2527.9026,2702.7408,69305.0000,67705.0000,70673.0000
146,584,1.67,1.72,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2012090.4620,2744.3743,2781.0958,2687.5165,2718.5341,2548.6801,2527.9026,66575.0000,69305.0000,67705.0000
144,576,1.63,1.67,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2007873.5740,2767.5213,2744.3743,2781.0958,2687.5165,2718.5341,2548.6801,67383.0000,66575.0000,69305.0000
143.25,573,1.71,1.63,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2068632.1160,2816.5838,2767.5213,2744.3743,2781.0958,2687.5165,2718.5341,68587.0000,67383.0000,66575.0000
130.75,523,1.8,1.71,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2234693.6700,2769.6909,2816.5838,2767.5213,2744.3743,2781.0958,2687.5165,66133.0000,68587.0000,67383.0000
134.75,539,1.77,1.8,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2031883.5710,2862.7189,2769.6909,2816.5838,2767.5213,2744.3743,2781.0958,64620.0000,66133.0000,68587.0000
140,560,1.8,1.77,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,1996661.9530,2909.3327,2862.7189,2769.6909,2816.5838,2767.5213,2744.3743,62404.0000,64620.0000,66133.0000
142.25,569,1.79,1.8,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,1969949.7100,2853.7970,2909.3327,2862.7189,2769.6909,2816.5838,2767.5213,58824.0000,62404.0000,64620.0000
153.5,614,1.8,1.79,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,1931652.0880,2684.9794,2853.7970,2909.3327,2862.7189,2769.6909,2816.5838,56495.0000,58824.0000,62404.0000
173.25,693,1.82,1.8,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,1934342.0250,2700.6040,2684.9794,2853.7970,2909.3327,2862.7189,2769.6909,52324.0000,56495.0000,58824.0000
174.75,699,1.7,1.82,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,1964999.2980,2918.2568,2700.6040,2684.9794,2853.7970,2909.3327,2862.7189,58338.0000,52324.0000,56495.0000
181.5,726,1.73,1.7,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,1953400.7230,2817.8764,2918.2568,2700.6040,2684.9794,2853.7970,2909.3327,56875.0000,58338.0000,52324.0000
188.25,753,1.7,1.73,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,1916230.4730,2926.8922,2817.8764,2918.2568,2700.6040,2684.9794,2853.7970,56754.0000,56875.0000,58338.0000
171.25,685,1.66,1.7,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,1964556.6940,2878.0266,2926.8922,2817.8764,2918.2568,2700.6040,2684.9794,63072.0000,56754.0000,56875.0000
169.75,679,1.58,1.66,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,1941705.8780,2968.0067,2878.0266,2926.8922,2817.8764,2918.2568,2700.6040,65812.0000,63072.0000,56754.0000
153.75,615,1.65,1.58,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,1996512.8700,3029.6050,2968.0067,2878.0266,2926.8922,2817.8764,2918.2568,64511.0000,65812.0000,63072.0000
140.5,562,1.63,1.65,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,2162928.9680,2901.3315,3029.6050,2968.0067,2878.0266,2926.8922,2817.8764,61820.0000,64511.0000,65812.0000
148.5,594,1.59,1.63,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,1965680.7510,3095.1751,2901.3315,3029.6050,2968.0067,2878.0266,2926.8922,54490.0000,61820.0000,64511.0000
135.5,542,1.47,1.59,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,1937693.0930,3047.5811,3095.1751,2901.3315,3029.6050,2968.0067,2878.0266,54355.0000,54490.0000,61820.0000
