y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
345.75,1383,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,2.6542,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,19.5,19.25,97.5,93.4,91.7,92.6,94.8,95.7,95,95,96.2,98.4,101.7,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,1185602.50574024,1182670.83291771,1188172.5045009,1169836.49119315,1145018.74690195,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,1863.978237,1812.185536,1795.511102,1772.577371,1763.81382,38610,38383,33456,31917,30194,31584,28045,26042,25051,25207,24844
367,1468,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,19.5,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,95,96.2,98.4,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,1185602.50574024,1182670.83291771,1188172.5045009,1169836.49119315,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,1863.978237,1812.185536,1795.511102,1772.577371,37952,38610,38383,33456,31917,30194,31584,28045,26042,25051,25207
370,1480,2.1285,2.1512,2.1611,2.1611,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,95,96.2,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,1185602.50574024,1182670.83291771,1188172.5045009,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,1863.978237,1812.185536,1795.511102,40363,37952,38610,38383,33456,31917,30194,31584,28045,26042,25051
344.25,1377,2.1773,2.1285,2.1512,2.1512,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,95,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,1185602.50574024,1182670.83291771,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,1863.978237,1812.185536,36530,40363,37952,38610,38383,33456,31917,30194,31584,28045,26042
350.25,1401,2.2475,2.1773,2.1285,2.1285,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,1185602.50574024,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,1863.978237,36631,36530,40363,37952,38610,38383,33456,31917,30194,31584,28045
357,1428,2.1885,2.2475,2.1773,2.1773,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,1235375.02740409,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,1838.293971,37077,36631,36530,40363,37952,38610,38383,33456,31917,30194,31584
369,1476,2.1551,2.1885,2.2475,2.2475,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,1362262.17667773,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,1206825.57816377,2051.414934,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,1915.158313,36232,37077,36631,36530,40363,37952,38610,38383,33456,31917,30194
364.75,1459,2.1679,2.1551,2.1885,2.1885,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,1427509.90859924,1362262.17667773,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,1277147.85678767,2015.327254,2051.414934,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,1953.420189,36449,36232,37077,36631,36530,40363,37952,38610,38383,33456,31917
352,1408,2.1475,2.1679,2.1551,2.1551,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,1441890.94278861,1427509.90859924,1362262.17667773,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,1462187.43523316,2140.495272,2015.327254,2051.414934,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,1923.963731,39263,36449,36232,37077,36631,36530,40363,37952,38610,38383,33456
296.25,1185,2.1571,2.1475,2.1679,2.1679,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,99.7,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,1504551.98302034,1441890.94278861,1427509.90859924,1362262.17667773,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,1310912.98339795,2152.802969,2140.495272,2015.327254,2051.414934,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,1806.380356,41932,39263,36449,36232,37077,36631,36530,40363,37952,38610,38383
272.25,1089,2.1491,2.1571,2.1475,2.1475,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,13.25,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,99.1,99.7,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,1715014.2418468,1504551.98302034,1441890.94278861,1427509.90859924,1362262.17667773,1334617.37764667,1322129.01948592,1306743.97463934,1274386.40446959,1289257.03511305,1317732.12283163,2087.717611,2152.802969,2140.495272,2015.327254,2051.414934,2000.358987,1917.121077,1953.119144,1855.23532,1928.013661,1752.386742,44474,41932,39263,36449,36232,37077,36631,36530,40363,37952,38610
